userName,score,content,at,thumbsUpCount
Saiyyad Mohammad,5,good service thanks,2026-07-22 23:18:07,0
Sheham Fazal Rahman,1,"Worst app. The delivery boy also had no manners, and the delivery took more than 15 minutes. Very disappointing service.",2026-07-22 23:16:36,0
Abhay Singh,5,nice platform easy shopping affordabale rate,2026-07-22 23:12:31,0
ARADHAYA DEVA,5,really good fast delivery ❤️🥰,2026-07-22 23:10:33,0
Shalom David,5,best for emergency 🫶🏻🫂,2026-07-22 23:09:27,0
Pthan Boy,5,it is good app Blinkit and fast service enjoy this website anybody in all order,2026-07-22 23:08:54,0
Amaira Amaira,1,blanket se koi bhi order na khariden blancate wale bahut Dhokha Dhadi kar rahe hain maine apne bacche ke liye Nariyal Pani mangaya tha Botal wala usmein kide nikale Hain,2026-07-22 23:05:15,0
Manoj Acharya,5,"Awesome experience, loved it",2026-07-22 23:05:07,0
Vinayak Kulkarni,1,"I had ordered amul butterscotch icecream, but the butterscotch nuts and crunches have became soft. Storage people have not maintained refrigeration properly. Please try not to order ice creams from blinkit",2026-07-22 23:00:48,0
Dr Bijay Hansda MBBS,1,awfull Returning any expensive item is extremely difficult in Blinkit go for Bigbasket and flipkart 20 minutes avoid Blinkit,2026-07-22 22:54:59,0
YASIR MAKBULBHAI SUNASARA,5,good service best,2026-07-22 22:53:27,0
Anju Pandey,2,cancel feature is not there,2026-07-22 22:53:19,0
Mukesh Kumar,5,Great experience Blinkit aap very useful.,2026-07-22 22:51:26,0
ASHUTOSH PANDEY,1,worst app.... dont buy anything from here...,2026-07-22 22:48:01,0
Sonam,1,products delivered are expired,2026-07-22 22:47:32,0
Aziz Syed,3,Rs 10 Xtra every order,2026-07-22 22:40:03,0
Ravi barss Band,4,best delivery and fast but to expensive,2026-07-22 22:39:04,0
Prem kumar Chinthala,5,good service but little bit slow,2026-07-22 22:34:45,0
Sai Patil,5,fastest service,2026-07-22 22:34:38,0
Ramprasad,4,Nice services and it's pretty awesome while placing an order of medicine 💊 and receive physician's call as well to be recommended that what medicine should be taken,2026-07-22 22:34:14,0
Vini Vini,1,waste of money bad quality eggs 300 rupees wasted,2026-07-22 22:24:16,0
Priya Jadhav,5,wonderful app... eassy way to bought a grocery or household items.. thank you 😀A big thank you blinkit..it is very nice service for me.. I ordered any item anytime 😀😀this app is very convenient for me ❤️,2026-07-22 22:20:48,0
Sultana Qureshi,5,delivery done in so heavy rain also so late.,2026-07-22 22:17:05,0
HARSH KUMAR RAJ,5,"This application is unequivocally the best I have ever encountered for all my needs, ranging from groceries and household items to late-night cravings and medicinal emergencies, and much more.",2026-07-22 22:17:02,0
Parvinder Panchal,5,vry fast service 😇❤,2026-07-22 22:16:12,0
Victoria Beng,5,good love you🩷🩷🩷,2026-07-22 22:14:27,0
Jay Jain,5,it was fast and came in just 10-15 minutes,2026-07-22 22:14:22,0
Baibhav Das,4,"not bad , everything is ok . I may re rate of any fault appears",2026-07-22 22:13:07,0
Narayan Iyer,4,First order. So pleasantly shocked by such a fast delivery. The price of items was very competitive and attractive compared to amazon. So happy with this first experience although delivery bag was torn badly. But items arrived in less than 15 mins of ordering. Truly an eye blinking experience. Thank you.,2026-07-22 22:13:05,0
